symbol,sector,industry,committee,empty
BAC,Financial Services,Banks—Diversified,"['banking', 'finance']",[]
PII,Consumer Cyclical,Recreational Vehicles,['commerce'],[]
CI,Healthcare,Healthcare Plans,['health'],[]
BK,Financial Services,Asset Management,['finance'],[]
KR,Consumer Defensive,Grocery Stores,"['nutrition', 'agriculture']",[]
DVA,Healthcare,Medical Care Facilities,['health'],[]
QQQ,,,[],[]
DDOG,Technology,Software—Application,['science'],[]
RHP,Real Estate,REIT—Hotel & Motel,['housing'],[]
RNR,Financial Services,Insurance—Reinsurance,['finance'],[]
PNFP,Financial Services,Banks—Regional,"['banking', 'finance']",[]
ENVA,Financial Services,Credit Services,['finance'],[]
CCEP,Consumer Defensive,Beverages—Non-Alcoholic,['nutrition'],[]
NS,Energy,Oil & Gas Midstream,"['energy', 'naturalresources']",[]
CLDT,Real Estate,REIT—Hotel & Motel,['housing'],[]
CEM,Financial Services,Asset Management,['finance'],[]
VRM,Consumer Cyclical,Auto & Truck Dealerships,"['commerce', 'transportation']",[]
GOOGL,Communication Services,Internet Content & Information,[],[]
TTD,Technology,Software—Application,['science'],[]
DELL,Technology,Computer Hardware,['science'],[]
CAG,Consumer Defensive,Packaged Foods,['nutrition'],[]
OFC,Real Estate,REIT—Office,['housing'],[]
SPG,Real Estate,REIT—Retail,['housing'],[]
APAM,Financial Services,Asset Management,['finance'],[]
AON,Financial Services,Insurance Brokers,['finance'],[]
CALX,Technology,Software—Application,['science'],[]
AA,Basic Materials,Aluminum,['naturalresources'],[]
GE,Industrials,Specialty Industrial Machinery,[],[]
UAA,Consumer Cyclical,Apparel Manufacturing,['commerce'],[]
UA,Consumer Cyclical,Apparel Manufacturing,['commerce'],[]
BDX,Healthcare,Medical Instruments & Supplies,['health'],[]
D,Utilities,Utilities—Regulated Electric,['energy'],[]
GD,Industrials,Aerospace & Defense,"['armedservices', 'homelandsecurity']",[]
SNOW,Technology,Software—Application,['science'],[]
MPWR,Technology,Semiconductors,['science'],[]
KEYS,Technology,Scientific & Technical Instruments,['science'],[]
KLAC,Technology,Semiconductor Equipment & Materials,['science'],[]
ALLE,Industrials,Security & Protection Services,[],[]
WAL,Financial Services,Banks—Regional,"['banking', 'finance']",[]
DECK,Consumer Cyclical,Footwear & Accessories,['commerce'],[]
CHE,Healthcare,Medical Care Facilities,['health'],[]
BHP,Basic Materials,Other Industrial Metals & Mining,['naturalresources'],[]
ATHM,Communication Services,Internet Content & Information,[],[]
BTC,,,[],[]
J,Industrials,Engineering & Construction,[],[]
NRDY,Technology,Software—Application,['science'],[]
MCHP,Technology,Semiconductors,['science'],[]
T,Communication Services,Telecom Services,[],[]
SSBK,Financial Services,Banks—Regional,"['banking', 'finance']",[]
WW,Consumer Cyclical,Personal Services,['commerce'],[]
ARE,Real Estate,REIT—Office,['housing'],[]
MTUM,,,[],[]
DTD,,,[],[]
PINS,Communication Services,Internet Content & Information,[],[]
SNAP,Communication Services,Internet Content & Information,[],[]
O,Real Estate,REIT—Retail,['housing'],[]
SDOG,,,[],[]
TDY,Technology,Scientific & Technical Instruments,['science'],[]
WY,Real Estate,REIT—Specialty,['housing'],[]
ONEQ,,,[],[]
DG,Consumer Defensive,Discount Stores,"['commerce', 'nutrition']",[]
BRK-B,Financial Services,Insurance—Diversified,['finance'],[]
CSX,Industrials,Railroads,['transportation'],[]
WAT,Healthcare,Diagnostics & Research,['health'],[]
TER,Technology,Semiconductor Equipment & Materials,['science'],[]
SWKS,Technology,Semiconductors,['science'],[]
DGX,Healthcare,Diagnostics & Research,['health'],[]
ODFL,Industrials,Trucking,['transportation'],[]
NDSN,Industrials,Specialty Industrial Machinery,[],[]
NTES,Communication Services,Electronic Gaming & Multimedia,[],[]
IEX,Industrials,Specialty Industrial Machinery,[],[]
GNTX,Consumer Cyclical,Auto Parts,"['commerce', 'transportation']",[]
FTNT,Technology,Software—Infrastructure,['science'],[]
EA,Communication Services,Electronic Gaming & Multimedia,[],[]
EBAY,Consumer Cyclical,Internet Retail,['commerce'],[]
EW,Healthcare,Medical Devices,['health'],[]
CL,Consumer Defensive,Household & Personal Products,[],[]
ADP,Industrials,Staffing & Employment Services,[],[]
FCX,Basic Materials,Copper,['naturalresources'],[]
JPM,Financial Services,Banks—Diversified,"['banking', 'finance']",[]
OGN,Healthcare,Drug Manufacturers—General,['health'],[]
NOK,Technology,Communication Equipment,['science'],[]
BA,Industrials,Aerospace & Defense,"['armedservices', 'homelandsecurity']",[]
CMG,Consumer Cyclical,Restaurants,"['commerce', 'nutrition']",[]
QRTEA,Consumer Cyclical,Internet Retail,['commerce'],[]
PTON,Consumer Cyclical,Leisure,['commerce'],[]
IWM,,,[],[]
NTRA,Healthcare,Diagnostics & Research,['health'],[]
GAN,Consumer Cyclical,Gambling,['commerce'],[]
CWEN,Utilities,Utilities—Renewable,"['energy', 'environment']",[]
MTCH,Communication Services,Internet Content & Information,[],[]
VPU,,,[],[]
ITW,Industrials,Specialty Industrial Machinery,[],[]
UBSI,Financial Services,Banks—Regional,"['banking', 'finance']",[]
BLK,Financial Services,Asset Management,['finance'],[]
STZ,Consumer Defensive,Beverages—Wineries & Distilleries,['nutrition'],[]
AVGO,Technology,Semiconductors,['science'],[]
QRTEP,Consumer Cyclical,Internet Retail,['commerce'],[]
CARG,Consumer Cyclical,Auto & Truck Dealerships,"['commerce', 'transportation']",[]
STX,Technology,Computer Hardware,['science'],[]
PENN,Consumer Cyclical,Resorts & Casinos,['commerce'],[]
DD,Basic Materials,Specialty Chemicals,['naturalresources'],[]
GGSM,Basic Materials,Other Precious Metals & Mining,['naturalresources'],[]
