,gender,year,name,committees
16,M,2007,Cardin,budget
17,M,2007,Carper,"banking, housing, and urban affairs"
18,M,2007,Casey,"agriculture, nutrition, and forestry"
19,M,2007,Chambliss,"agriculture, nutrition, and forestry"
20,W,2007,Clinton,armed services
21,M,2007,Coburn,"health, education, labor, and pensions"
22,M,2007,Cochran,"agriculture, nutrition, and forestry"
23,M,2007,Coleman,"agriculture, nutrition, and forestry"
24,M,2007,Conrad,"agriculture, nutrition, and forestry"
25,M,2007,Corker,armed services
26,M,2007,Cornyn,armed services
27,M,2007,Craig,appropriations
28,M,2007,Crapo,"agriculture, nutrition, and forestry"
29,M,2007,Demint,"commerce, science, and transportation"
30,M,2007,Dodd,"banking, housing, and urban affairs"
31,W,2007,Dole,armed services
32,M,2007,Domenici,appropriations
33,M,2007,Dorgan,appropriations
34,M,2007,Durbin,appropriations
35,M,2007,Ensign,budget
36,M,2007,Enzi,"banking, housing, and urban affairs"
37,M,2007,Feingold,budget
38,W,2007,Feinstein,appropriations
39,M,2007,Graham,"agriculture, nutrition, and forestry"
40,M,2007,Grassley,"agriculture, nutrition, and forestry"
41,M,2007,Gregg,appropriations
42,M,2007,Hagel,"banking, housing, and urban affairs"
43,M,2007,Harkin,"agriculture, nutrition, and forestry"
44,M,2007,Hatch,finance
45,W,2007,Hutchison,appropriations
46,M,2007,Inhofe,armed services
47,M,2007,Inouye,appropriations
48,M,2007,Isakson,environment and public works
49,M,2007,Johnson,appropriations
50,M,2007,Kennedy,armed services
51,M,2007,Kerry,"commerce, science, and transportation"
52,M,2007,Kohl,appropriations
53,M,2007,Kyl,finance
54,M,2007,Lautenberg,appropriations
55,M,2007,Leahy,"agriculture, nutrition, and forestry"
56,M,2007,Levin,armed services
57,M,2007,Lieberman,armed services
58,W,2007,Lincoln,"agriculture, nutrition, and forestry"
59,M,2007,Lott,"commerce, science, and transportation"
60,M,2007,Lugar,"agriculture, nutrition, and forestry"
61,M,2007,Martinez,armed services
62,M,2007,Mccain,armed services
63,W,2007,Mccaskill,armed services
64,M,2007,Mcconnell,"agriculture, nutrition, and forestry"
65,M,2007,Menendez,"banking, housing, and urban affairs"
66,W,2007,Murray,appropriations
67,M,2007,Nelson,armed services
68,M,2007,Nelson,"agriculture, nutrition, and forestry"
69,M,2007,Obama,foreign relations
70,M,2007,Pryor,armed services
71,M,2007,Reed,appropriations
72,M,2007,Reid,rules and administration
73,M,2007,Rockefeller,"commerce, science, and transportation"
74,M,2007,Salazar,"agriculture, nutrition, and forestry"
75,M,2007,Sanders,budget
76,M,2007,Schumer,"banking, housing, and urban affairs"
77,M,2007,Sessions,armed services
78,M,2007,Shelby,appropriations
79,M,2007,Smith,"commerce, science, and transportation"
80,M,2007,Specter,appropriations
81,M,2007,Stevens,appropriations
82,M,2007,Sununu,"banking, housing, and urban affairs"
83,M,2007,Tester,"banking, housing, and urban affairs"
84,M,2007,Thune,"agriculture, nutrition, and forestry"
85,M,2007,Vitter,"commerce, science, and transportation"
86,M,2007,Voinovich,environment and public works
87,M,2007,Warner,armed services
88,M,2007,Webb,armed services
89,M,2007,Whitehouse,budget
90,M,2007,Wyden,budget
0,M,2007,Akaka,armed services
1,M,2007,Alexander,appropriations
2,M,2007,Allard,appropriations
3,M,2007,Baucus,"agriculture, nutrition, and forestry"
4,M,2007,Bayh,armed services
5,M,2007,Bennett,appropriations
6,M,2007,Biden,foreign relations
7,M,2007,Bingaman,energy and natural resources
8,M,2007,Bond,appropriations
9,W,2007,Boxer,"commerce, science, and transportation"
10,M,2007,Brown,"agriculture, nutrition, and forestry"
11,M,2007,Brownback,appropriations
12,M,2007,Bunning,"banking, housing, and urban affairs"
13,M,2007,Burr,energy and natural resources
14,M,2007,Byrd,appropriations
15,M,2007,Cardin,budget
16,M,2007,Carper,"banking, housing, and urban affairs"
17,M,2007,Casey,"agriculture, nutrition, and forestry"
18,M,2007,Chambliss,"agriculture, nutrition, and forestry"
19,W,2007,Clinton,armed services
20,M,2007,Coburn,"health, education, labor, and pensions"
21,M,2007,Cochran,"agriculture, nutrition, and forestry"
22,M,2007,Coleman,"agriculture, nutrition, and forestry"
23,M,2007,Conrad,"agriculture, nutrition, and forestry"
24,M,2007,Corker,energy and natural resources
25,M,2007,Cornyn,armed services
26,M,2007,Craig,appropriations
27,M,2007,Crapo,"agriculture, nutrition, and forestry"
28,M,2007,Demint,"commerce, science, and transportation"
29,M,2007,Dodd,"banking, housing, and urban affairs"
30,W,2007,Dole,armed services
31,M,2007,Domenici,appropriations
32,M,2007,Dorgan,appropriations
33,M,2007,Durbin,appropriations
34,M,2007,Ensign,armed services
35,M,2007,Enzi,"banking, housing, and urban affairs"
36,M,2007,Feingold,budget
37,W,2007,Feinstein,appropriations
38,M,2007,Graham,"agriculture, nutrition, and forestry"
39,M,2007,Grassley,"agriculture, nutrition, and forestry"
40,M,2007,Gregg,appropriations
41,M,2007,Hagel,"banking, housing, and urban affairs"
42,M,2007,Harkin,"agriculture, nutrition, and forestry"
43,M,2007,Hatch,finance
44,W,2007,Hutchison,appropriations
45,M,2007,Inhofe,armed services
46,M,2007,Inouye,appropriations
47,M,2007,Isakson,environment and public works
48,M,2007,Johnson,appropriations
49,M,2007,Kennedy,armed services
50,M,2007,Kerry,"commerce, science, and transportation"
51,M,2007,Kohl,appropriations
52,M,2007,Kyl,finance
53,M,2007,Lautenberg,appropriations
54,M,2007,Leahy,"agriculture, nutrition, and forestry"
55,M,2007,Levin,armed services
56,M,2007,Lieberman,armed services
57,W,2007,Lincoln,"agriculture, nutrition, and forestry"
58,M,2007,Lott,"commerce, science, and transportation"
59,M,2007,Lugar,"agriculture, nutrition, and forestry"
60,M,2007,Martinez,armed services
61,M,2007,Mccain,armed services
62,W,2007,Mccaskill,armed services
63,M,2007,Mcconnell,"agriculture, nutrition, and forestry"
64,M,2007,Menendez,"banking, housing, and urban affairs"
65,W,2007,Murray,appropriations
66,M,2007,Nelson,armed services
67,M,2007,Nelson,"agriculture, nutrition, and forestry"
68,M,2007,Obama,foreign relations
69,M,2007,Pryor,armed services
70,M,2007,Reed,appropriations
71,M,2007,Reid,rules and administration
72,M,2007,Rockefeller,"commerce, science, and transportation"
73,M,2007,Salazar,"agriculture, nutrition, and forestry"
74,M,2007,Sanders,budget
75,M,2007,Schumer,"banking, housing, and urban affairs"
76,M,2007,Sessions,armed services
77,M,2007,Shelby,appropriations
78,M,2007,Smith,"commerce, science, and transportation"
79,M,2007,Specter,appropriations
80,M,2007,Stevens,appropriations
81,M,2007,Sununu,"banking, housing, and urban affairs"
82,M,2007,Tester,"banking, housing, and urban affairs"
83,M,2007,Thomas,energy and natural resources
84,M,2007,Thune,"agriculture, nutrition, and forestry"
85,M,2007,Vitter,"commerce, science, and transportation"
86,M,2007,Voinovich,environment and public works
87,M,2007,Warner,armed services
88,M,2007,Webb,armed services
89,M,2007,Whitehouse,budget
90,M,2007,Wyden,budget
0,M,2009,Akaka,armed services
1,M,2009,Alexander,appropriations
2,M,2009,Barrasso,energy and natural resources
3,M,2009,Baucus,"agriculture, nutrition, and forestry"
4,M,2009,Bayh,armed services
5,M,2009,Begich,armed services
6,M,2009,Bennet,"agriculture, nutrition, and forestry"
7,M,2009,Bennett,appropriations
8,M,2009,Bingaman,energy and natural resources
9,M,2009,Bond,appropriations
10,W,2009,Boxer,"commerce, science, and transportation"
11,M,2009,Brown,"agriculture, nutrition, and forestry"
12,M,2009,Brownback,appropriations
13,M,2009,Bunning,"banking, housing, and urban affairs"
14,M,2009,Burr,armed services
15,M,2009,Burris,armed services
16,M,2009,Byrd,appropriations
17,M,2009,Cardin,budget
18,M,2009,Carper,environment and public works
19,M,2009,Casey,"agriculture, nutrition, and forestry"
20,M,2009,Chambliss,"agriculture, nutrition, and forestry"
21,M,2009,Coburn,"health, education, labor, and pensions"
22,M,2009,Cochran,"agriculture, nutrition, and forestry"
23,M,2009,Conrad,"agriculture, nutrition, and forestry"
24,M,2009,Corker,"banking, housing, and urban affairs"
25,M,2009,Cornyn,"agriculture, nutrition, and forestry"
26,M,2009,Crapo,"banking, housing, and urban affairs"
27,M,2009,Demint,"banking, housing, and urban affairs"
28,M,2009,Dodd,"banking, housing, and urban affairs"
29,M,2009,Dorgan,appropriations
30,M,2009,Durbin,appropriations
31,M,2009,Ensign,budget
32,M,2009,Enzi,budget
33,M,2009,Feingold,budget
34,W,2009,Feinstein,appropriations
35,M,2009,Franken,"health, education, labor, and pensions"
36,W,2009,Gillibrand,"agriculture, nutrition, and forestry"
37,M,2009,Graham,armed services
38,M,2009,Grassley,"agriculture, nutrition, and forestry"
39,M,2009,Gregg,appropriations
40,W,2009,Hagan,armed services
41,M,2009,Harkin,"agriculture, nutrition, and forestry"
42,M,2009,Hatch,finance
43,W,2009,Hutchison,appropriations
44,M,2009,Inhofe,armed services
45,M,2009,Inouye,appropriations
46,M,2009,Isakson,"commerce, science, and transportation"
47,M,2009,Johanns,"agriculture, nutrition, and forestry"
48,M,2009,Johnson,appropriations
49,M,2009,Kaufman,foreign relations
50,M,2009,Kerry,"commerce, science, and transportation"
51,M,2009,Kirk,armed services
52,M,2009,Kohl,appropriations
53,M,2009,Kyl,finance
54,M,2009,Lautenberg,appropriations
55,M,2009,Leahy,"agriculture, nutrition, and forestry"
56,M,2009,Lemieux,armed services
57,M,2009,Levin,armed services
58,M,2009,Lieberman,armed services
59,W,2009,Lincoln,"agriculture, nutrition, and forestry"
60,M,2009,Lugar,"agriculture, nutrition, and forestry"
61,M,2009,Mccain,armed services
62,W,2009,Mccaskill,armed services
63,M,2009,Mcconnell,"agriculture, nutrition, and forestry"
64,M,2009,Menendez,"banking, housing, and urban affairs"
65,M,2009,Merkley,"banking, housing, and urban affairs"
66,W,2009,Murray,appropriations
67,M,2009,Nelson,"agriculture, nutrition, and forestry"
68,M,2009,Nelson,armed services
69,M,2009,Pryor,appropriations
70,M,2009,Reed,appropriations
71,M,2009,Risch,energy and natural resources
72,M,2009,Roberts,"agriculture, nutrition, and forestry"
73,M,2009,Rockefeller,"commerce, science, and transportation"
74,M,2009,Sanders,budget
75,M,2009,Schumer,"banking, housing, and urban affairs"
76,M,2009,Sessions,armed services
77,W,2009,Shaheen,energy and natural resources
78,M,2009,Shelby,appropriations
79,M,2009,Specter,appropriations
80,M,2009,Tester,appropriations
81,M,2009,Thune,"agriculture, nutrition, and forestry"
82,M,2009,Udall,armed services
83,M,2009,Udall,"commerce, science, and transportation"
84,M,2009,Vitter,armed services
85,M,2009,Voinovich,appropriations
86,M,2009,Warner,"banking, housing, and urban affairs"
87,M,2009,Webb,armed services
88,M,2009,Whitehouse,budget
89,M,2009,Wicker,armed services
90,M,2009,Wyden,budget
0,M,2009,Akaka,armed services
1,M,2009,Alexander,appropriations
2,M,2009,Barrasso,energy and natural resources
3,M,2009,Baucus,"agriculture, nutrition, and forestry"
4,M,2009,Bayh,armed services
5,M,2009,Begich,armed services
6,M,2009,Bennet,"agriculture, nutrition, and forestry"
7,M,2009,Bennett,appropriations
8,M,2009,Bingaman,energy and natural resources
9,M,2009,Bond,appropriations
10,W,2009,Boxer,"commerce, science, and transportation"
11,M,2009,Brown,"agriculture, nutrition, and forestry"
12,M,2009,Brownback,appropriations
13,M,2009,Bunning,"banking, housing, and urban affairs"
14,M,2009,Burr,armed services
15,M,2009,Burris,armed services
16,M,2009,Byrd,appropriations
17,M,2009,Cardin,budget
18,M,2009,Carper,environment and public works
19,M,2009,Casey,"agriculture, nutrition, and forestry"
20,M,2009,Chambliss,"agriculture, nutrition, and forestry"
21,M,2009,Coburn,"health, education, labor, and pensions"
22,M,2009,Cochran,"agriculture, nutrition, and forestry"
23,M,2009,Conrad,"agriculture, nutrition, and forestry"
24,M,2009,Corker,"banking, housing, and urban affairs"
25,M,2009,Cornyn,"agriculture, nutrition, and forestry"
26,M,2009,Crapo,"banking, housing, and urban affairs"
27,M,2009,Demint,"banking, housing, and urban affairs"
28,M,2009,Dodd,"banking, housing, and urban affairs"
29,M,2009,Dorgan,appropriations
30,M,2009,Durbin,appropriations
31,M,2009,Ensign,budget
32,M,2009,Enzi,budget
33,M,2009,Feingold,budget
34,W,2009,Feinstein,appropriations
35,M,2009,Franken,"health, education, labor, and pensions"
36,W,2009,Gillibrand,"agriculture, nutrition, and forestry"
37,M,2009,Graham,armed services
38,M,2009,Grassley,"agriculture, nutrition, and forestry"
39,M,2009,Gregg,appropriations
40,W,2009,Hagan,armed services
41,M,2009,Harkin,"agriculture, nutrition, and forestry"
42,M,2009,Hatch,finance
43,W,2009,Hutchison,appropriations
44,M,2009,Inhofe,armed services
45,M,2009,Inouye,appropriations
46,M,2009,Isakson,"commerce, science, and transportation"
47,M,2009,Johanns,"agriculture, nutrition, and forestry"
48,M,2009,Johnson,appropriations
49,M,2009,Kaufman,foreign relations
50,M,2009,Kerry,"commerce, science, and transportation"
51,M,2009,Kirk,armed services
52,M,2009,Kohl,appropriations
53,M,2009,Kyl,finance
54,M,2009,Lautenberg,appropriations
55,M,2009,Leahy,"agriculture, nutrition, and forestry"
56,M,2009,Lemieux,armed services
57,M,2009,Levin,armed services
58,M,2009,Lieberman,armed services
59,W,2009,Lincoln,"agriculture, nutrition, and forestry"
60,M,2009,Lugar,"agriculture, nutrition, and forestry"
61,M,2009,Mccain,armed services
62,W,2009,Mccaskill,armed services
63,M,2009,Mcconnell,"agriculture, nutrition, and forestry"
64,M,2009,Menendez,"banking, housing, and urban affairs"
65,M,2009,Merkley,"banking, housing, and urban affairs"
66,W,2009,Murray,appropriations
67,M,2009,Nelson,"agriculture, nutrition, and forestry"
68,M,2009,Nelson,armed services
69,M,2009,Pryor,appropriations
70,M,2009,Reed,appropriations
71,M,2009,Risch,energy and natural resources
72,M,2009,Roberts,"agriculture, nutrition, and forestry"
73,M,2009,Rockefeller,"commerce, science, and transportation"
74,M,2009,Sanders,budget
75,M,2009,Schumer,"banking, housing, and urban affairs"
76,M,2009,Sessions,armed services
77,W,2009,Shaheen,energy and natural resources
78,M,2009,Shelby,appropriations
79,M,2009,Specter,appropriations
80,M,2009,Tester,appropriations
81,M,2009,Thune,"agriculture, nutrition, and forestry"
82,M,2009,Udall,armed services
83,M,2009,Udall,"commerce, science, and transportation"
84,M,2009,Vitter,armed services
85,M,2009,Voinovich,appropriations
86,M,2009,Warner,"banking, housing, and urban affairs"
87,M,2009,Webb,armed services
88,M,2009,Whitehouse,budget
89,M,2009,Wicker,armed services
90,M,2009,Wyden,budget
0,M,2010,Akaka,armed services
1,M,2010,Alexander,appropriations
2,M,2010,Barrasso,energy and natural resources
3,M,2010,Baucus,"agriculture, nutrition, and forestry"
4,M,2010,Bayh,armed services
5,M,2010,Begich,armed services
6,M,2010,Bennet,"agriculture, nutrition, and forestry"
7,M,2010,Bennett,appropriations
8,M,2010,Bingaman,armed services
9,M,2010,Bond,appropriations
10,W,2010,Boxer,"commerce, science, and transportation"
11,M,2010,"Brown,",armed services
12,M,2010,"Brown,","agriculture, nutrition, and forestry"
13,M,2010,Brownback,appropriations
14,M,2010,Bunning,"banking, housing, and urban affairs"
15,M,2010,Burr,armed services
16,M,2010,Burris,armed services
17,M,2010,Byrd,appropriations
18,M,2010,Cardin,budget
19,M,2010,Carper,environment and public works
20,M,2010,Casey,"agriculture, nutrition, and forestry"
21,M,2010,Chambliss,"agriculture, nutrition, and forestry"
22,M,2010,Coburn,"health, education, labor, and pensions"
23,M,2010,Cochran,"agriculture, nutrition, and forestry"
24,M,2010,Conrad,"agriculture, nutrition, and forestry"
25,M,2010,Corker,"banking, housing, and urban affairs"
26,M,2010,Cornyn,"agriculture, nutrition, and forestry"
27,M,2010,Crapo,"banking, housing, and urban affairs"
28,M,2010,Demint,"banking, housing, and urban affairs"
29,M,2010,Dodd,"banking, housing, and urban affairs"
30,M,2010,Dorgan,appropriations
31,M,2010,Durbin,appropriations
32,M,2010,Ensign,budget
33,M,2010,Enzi,budget
34,M,2010,Feingold,budget
35,W,2010,Feinstein,appropriations
36,M,2010,Franken,"health, education, labor, and pensions"
37,W,2010,Gillibrand,"agriculture, nutrition, and forestry"
38,M,2010,Graham,armed services
39,M,2010,Grassley,"agriculture, nutrition, and forestry"
40,M,2010,Gregg,appropriations
41,W,2010,Hagan,armed services
42,M,2010,Harkin,"agriculture, nutrition, and forestry"
43,M,2010,Hatch,finance
44,W,2010,Hutchison,appropriations
45,M,2010,Inhofe,armed services
46,M,2010,Inouye,appropriations
47,M,2010,Isakson,"commerce, science, and transportation"
48,M,2010,Johanns,"agriculture, nutrition, and forestry"
49,M,2010,Johnson,appropriations
50,M,2010,Kaufman,armed services
51,M,2010,Kerry,"commerce, science, and transportation"
52,M,2010,Kohl,appropriations
53,M,2010,Kyl,finance
54,M,2010,Lautenberg,appropriations
55,M,2010,Leahy,"agriculture, nutrition, and forestry"
56,M,2010,Lemieux,armed services
57,M,2010,Levin,armed services
58,M,2010,Lieberman,armed services
59,W,2010,Lincoln,"agriculture, nutrition, and forestry"
60,M,2010,Lugar,"agriculture, nutrition, and forestry"
61,M,2010,Mccain,armed services
62,W,2010,Mccaskill,armed services
63,M,2010,Mcconnell,"agriculture, nutrition, and forestry"
64,M,2010,Menendez,"banking, housing, and urban affairs"
65,M,2010,Merkley,"banking, housing, and urban affairs"
66,W,2010,Murray,appropriations
67,M,2010,Nelson,"agriculture, nutrition, and forestry"
68,M,2010,Nelson,armed services
69,M,2010,Pryor,appropriations
70,M,2010,Reed,appropriations
71,M,2010,Risch,energy and natural resources
72,M,2010,Roberts,"agriculture, nutrition, and forestry"
73,M,2010,Rockefeller,"commerce, science, and transportation"
74,M,2010,Sanders,budget
75,M,2010,Schumer,"banking, housing, and urban affairs"
76,M,2010,Sessions,armed services
77,W,2010,Shaheen,energy and natural resources
78,M,2010,Shelby,appropriations
79,M,2010,Specter,appropriations
80,M,2010,Tester,appropriations
81,M,2010,Thune,"agriculture, nutrition, and forestry"
82,M,2010,Udall,armed services
83,M,2010,Udall,"commerce, science, and transportation"
84,M,2010,Vitter,armed services
85,M,2010,Voinovich,appropriations
86,M,2010,Warner,"banking, housing, and urban affairs"
87,M,2010,Webb,armed services
88,M,2010,Whitehouse,budget
89,M,2010,Wicker,armed services
90,M,2010,Wyden,budget
0,M,2010,Akaka,armed services
1,M,2010,Alexander,appropriations
2,M,2010,Barrasso,energy and natural resources
3,M,2010,Baucus,"agriculture, nutrition, and forestry"
4,M,2010,Bayh,armed services
5,M,2010,Begich,armed services
6,M,2010,Bennet,"agriculture, nutrition, and forestry"
7,M,2010,Bennett,appropriations
8,M,2010,Bingaman,armed services
9,M,2010,Bond,appropriations
10,W,2010,Boxer,"commerce, science, and transportation"
11,M,2010,"Brown,",armed services
12,M,2010,"Brown,","agriculture, nutrition, and forestry"
13,M,2010,Brownback,appropriations
14,M,2010,Bunning,"banking, housing, and urban affairs"
15,M,2010,Burr,armed services
16,M,2010,Burris,armed services
17,M,2010,Cardin,budget
18,M,2010,Carper,environment and public works
19,M,2010,Casey,"agriculture, nutrition, and forestry"
20,M,2010,Chambliss,"agriculture, nutrition, and forestry"
21,M,2010,Coburn,"health, education, labor, and pensions"
22,M,2010,Cochran,"agriculture, nutrition, and forestry"
23,M,2010,Conrad,"agriculture, nutrition, and forestry"
24,M,2010,Corker,"banking, housing, and urban affairs"
25,M,2010,Cornyn,"agriculture, nutrition, and forestry"
26,M,2010,Crapo,"banking, housing, and urban affairs"
27,M,2010,Demint,"banking, housing, and urban affairs"
28,M,2010,Dodd,"banking, housing, and urban affairs"
29,M,2010,Dorgan,appropriations
30,M,2010,Durbin,appropriations
31,M,2010,Ensign,budget
32,M,2010,Enzi,budget
33,M,2010,Feingold,budget
34,W,2010,Feinstein,appropriations
35,M,2010,Franken,"health, education, labor, and pensions"
36,W,2010,Gillibrand,"agriculture, nutrition, and forestry"
37,M,2010,Goodwin,armed services
38,M,2010,Graham,armed services
39,M,2010,Grassley,"agriculture, nutrition, and forestry"
40,M,2010,Gregg,appropriations
41,W,2010,Hagan,armed services
42,M,2010,Harkin,"agriculture, nutrition, and forestry"
43,M,2010,Hatch,finance
44,W,2010,Hutchison,appropriations
45,M,2010,Inhofe,armed services
46,M,2010,Inouye,appropriations
47,M,2010,Isakson,"commerce, science, and transportation"
48,M,2010,Johanns,"agriculture, nutrition, and forestry"
49,M,2010,Johnson,appropriations
50,M,2010,Kaufman,armed services
51,M,2010,Kerry,"commerce, science, and transportation"
52,M,2010,Kohl,appropriations
53,M,2010,Kyl,finance
54,M,2010,Lautenberg,appropriations
55,M,2010,Leahy,"agriculture, nutrition, and forestry"
56,M,2010,Lemieux,armed services
57,M,2010,Levin,armed services
58,M,2010,Lieberman,armed services
59,W,2010,Lincoln,"agriculture, nutrition, and forestry"
60,M,2010,Lugar,"agriculture, nutrition, and forestry"
61,M,2010,Mccain,armed services
62,W,2010,Mccaskill,armed services
63,M,2010,Mcconnell,"agriculture, nutrition, and forestry"
64,M,2010,Menendez,"banking, housing, and urban affairs"
65,M,2010,Merkley,"banking, housing, and urban affairs"
66,W,2010,Murray,appropriations
67,M,2010,Nelson,"agriculture, nutrition, and forestry"
68,M,2010,Nelson,armed services
69,M,2010,Pryor,appropriations
70,M,2010,Reed,appropriations
71,M,2010,Risch,energy and natural resources
72,M,2010,Roberts,"agriculture, nutrition, and forestry"
73,M,2010,Rockefeller,"commerce, science, and transportation"
74,M,2010,Sanders,budget
75,M,2010,Schumer,"banking, housing, and urban affairs"
76,M,2010,Sessions,armed services
77,W,2010,Shaheen,energy and natural resources
78,M,2010,Shelby,appropriations
79,M,2010,Specter,appropriations
80,M,2010,Tester,appropriations
81,M,2010,Thune,"agriculture, nutrition, and forestry"
82,M,2010,Udall,armed services
83,M,2010,Udall,"commerce, science, and transportation"
84,M,2010,Vitter,armed services
85,M,2010,Voinovich,appropriations
86,M,2010,Warner,"banking, housing, and urban affairs"
87,M,2010,Webb,armed services
88,M,2010,Whitehouse,budget
89,M,2010,Wicker,armed services
90,M,2010,Wyden,budget
0,M,2010,Akaka,armed services
1,M,2010,Alexander,appropriations
2,M,2010,Barrasso,energy and natural resources
3,M,2010,Baucus,"agriculture, nutrition, and forestry"
4,M,2010,Bayh,armed services
5,M,2010,Begich,armed services
6,M,2010,Bennet,"agriculture, nutrition, and forestry"
7,M,2010,Bennett,appropriations
8,M,2010,Bingaman,armed services
9,M,2010,Bond,appropriations
10,W,2010,Boxer,"commerce, science, and transportation"
11,M,2010,"Brown,",armed services
12,M,2010,"Brown,","agriculture, nutrition, and forestry"
13,M,2010,Brownback,appropriations
14,M,2010,Bunning,"banking, housing, and urban affairs"
15,M,2010,Burr,armed services
16,M,2010,Cardin,budget
17,M,2010,Carper,environment and public works
18,M,2010,Casey,"agriculture, nutrition, and forestry"
19,M,2010,Chambliss,"agriculture, nutrition, and forestry"
20,M,2010,Coburn,"health, education, labor, and pensions"
21,M,2010,Cochran,"agriculture, nutrition, and forestry"
22,M,2010,Conrad,"agriculture, nutrition, and forestry"
23,M,2010,Coons,armed services
24,M,2010,Corker,"banking, housing, and urban affairs"
25,M,2010,Cornyn,"agriculture, nutrition, and forestry"
26,M,2010,Crapo,"banking, housing, and urban affairs"
27,M,2010,Demint,"banking, housing, and urban affairs"
