,Date,onDay,after_1,after_2,after_3,after_4,after_5,after_6,after_7,after_8,after_9,after_10,after_11,after_12,after_13,after_14,after_15,after_30,after_45,after_90,after_120,after_365,after_730,after_1095,after_1460,after_1825
2973,2021-04-06,4073.93994140625,4079.949951171875,4097.169921875,4128.7998046875,4127.990234375,4127.990234375,4127.990234375,4141.58984375,4124.66015625,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4201.6201171875,4155.85986328125,4343.5400390625,4402.66015625,4481.14990234375,,,,
2974,2021-04-07,4079.949951171875,4097.169921875,4128.7998046875,4127.990234375,4127.990234375,4127.990234375,4141.58984375,4124.66015625,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4232.60009765625,4197.0498046875,4343.5400390625,4429.10009765625,4500.2099609375,,,,
2975,2021-04-08,4097.169921875,4128.7998046875,4127.990234375,4127.990234375,4127.990234375,4141.58984375,4124.66015625,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4188.43017578125,4197.0498046875,4358.1298828125,4436.52001953125,4488.27978515625,,,,
2976,2021-04-09,4128.7998046875,4127.990234375,4127.990234375,4127.990234375,4141.58984375,4124.66015625,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4188.43017578125,4197.0498046875,4320.81982421875,4432.35009765625,4412.52978515625,,,,
2977,2021-04-10,4127.990234375,4127.990234375,4127.990234375,4141.58984375,4124.66015625,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4188.43017578125,4188.1298828125,4369.5498046875,4432.35009765625,4412.52978515625,,,,
2978,2021-04-11,4127.990234375,4127.990234375,4141.58984375,4124.66015625,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4152.10009765625,4195.990234375,4384.6298828125,4432.35009765625,4412.52978515625,,,,
2979,2021-04-12,4127.990234375,4141.58984375,4124.66015625,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4063.0400390625,4200.8798828125,4384.6298828125,4436.75,4397.4501953125,,,,
2980,2021-04-13,4141.58984375,4124.66015625,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4112.5,4204.10986328125,4384.6298828125,4442.41015625,4446.58984375,,,,
2981,2021-04-14,4124.66015625,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4173.85009765625,4202.0400390625,4369.2099609375,4460.830078125,4392.58984375,,,,
2982,2021-04-15,4170.419921875,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4163.2900390625,4202.0400390625,4374.2998046875,4468.0,4391.68994140625,,,,
2983,2021-04-16,4185.47021484375,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4163.2900390625,4202.0400390625,4360.02978515625,4479.7099609375,4391.68994140625,,,,
2984,2021-04-17,4163.259765625,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4163.2900390625,4202.0400390625,4327.16015625,4479.7099609375,4391.68994140625,,,,
2985,2021-04-18,4163.259765625,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4127.830078125,4208.1201171875,4258.490234375,4479.7099609375,4391.68994140625,,,,
2986,2021-04-19,4163.259765625,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4115.68017578125,4192.85009765625,4258.490234375,4448.080078125,4462.2099609375,,,,
2987,2021-04-20,4134.93994140625,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4159.1201171875,4229.89013671875,4258.490234375,4400.27001953125,4459.4501953125,,,,
2988,2021-04-21,4173.419921875,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4155.85986328125,4226.52001953125,4323.06005859375,4405.7998046875,4393.66015625,,,,
2989,2021-04-22,4134.97998046875,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4197.0498046875,4226.52001953125,4358.68994140625,4441.669921875,4271.77978515625,,,,
2990,2021-04-23,4180.169921875,4187.6201171875,4187.6201171875,4187.6201171875,4186.72021484375,4183.18017578125,4211.47021484375,4181.169921875,4192.66015625,4192.66015625,4192.66015625,4164.66015625,4167.58984375,4201.6201171875,4232.60009765625,4188.43017578125,4197.0498046875,4226.52001953125,4367.47998046875,4479.52978515625,4296.1201171875,,,,
